% 1. Title: Directive Keywords present in file dataset_corrected.csv

@RELATION directive_keywords_3

@ATTRIBUTE id NUMERIC
@ATTRIBUTE keyword_count NUMERIC
@ATTRIBUTE is_directive {directive, non-directive, revise}

@DATA
46,0,non-directive
46,0,non-directive
46,0,non-directive
46,0,non-directive
46,0,non-directive
46,0,non-directive
46,1,directive
46,0,non-directive
46,2,directive
46,0,non-directive
46,1,directive
46,1,directive
46,0,non-directive
46,0,non-directive
46,0,non-directive
47,4,directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
47,1,directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
47,2,directive
47,1,directive
47,1,directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
47,0,non-directive
48,0,non-directive
48,0,non-directive
48,0,non-directive
48,0,non-directive
48,0,non-directive
48,0,non-directive
48,0,non-directive
48,0,non-directive
49,3,directive
49,0,non-directive
49,0,non-directive
49,0,non-directive
49,0,non-directive
49,0,non-directive
49,0,non-directive
49,0,non-directive
49,0,non-directive
49,2,directive
49,0,non-directive
49,1,directive
49,1,directive
49,0,non-directive
49,0,non-directive
50,4,directive
50,0,non-directive
50,0,non-directive
50,0,non-directive
50,0,non-directive
50,1,directive
50,0,non-directive
50,0,non-directive
50,0,non-directive
50,2,directive
50,0,non-directive
50,1,directive
50,1,directive
50,0,non-directive
50,0,non-directive
50,0,non-directive
50,0,non-directive
51,4,directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,1,directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,2,directive
51,0,non-directive
51,0,non-directive
51,1,directive
51,1,directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
51,0,non-directive
52,3,directive
52,0,non-directive
52,0,non-directive
52,0,non-directive
52,0,non-directive
52,0,non-directive
52,2,directive
52,0,non-directive
52,1,directive
52,1,directive
52,0,non-directive
52,0,non-directive
53,1,directive
53,0,non-directive
53,1,directive
53,0,non-directive
53,0,non-directive
53,0,non-directive
53,0,non-directive
53,0,non-directive
54,3,directive
54,0,non-directive
54,1,directive
54,1,directive
54,2,directive
54,2,directive
54,2,directive
54,0,non-directive
54,0,non-directive
54,0,non-directive
54,0,non-directive
54,0,non-directive
54,0,non-directive
55,0,non-directive
55,0,non-directive
55,0,non-directive
55,0,non-directive
55,0,non-directive
55,0,non-directive
55,0,non-directive
55,0,non-directive
55,0,non-directive
56,1,directive
56,0,non-directive
56,1,directive
56,0,non-directive
56,0,non-directive
56,0,non-directive
56,0,non-directive
56,0,non-directive
56,0,non-directive
56,0,non-directive
57,0,non-directive
57,0,non-directive
57,0,non-directive
57,0,non-directive
57,0,non-directive
57,0,non-directive
57,0,non-directive
57,0,non-directive
57,0,non-directive
57,0,non-directive
58,3,directive
58,0,non-directive
58,0,non-directive
58,0,non-directive
58,2,directive
58,2,directive
58,0,non-directive
58,0,non-directive
58,0,non-directive
58,0,non-directive
58,0,non-directive
58,0,non-directive
59,5,directive
59,0,non-directive
59,0,non-directive
59,1,directive
59,0,non-directive
59,0,non-directive
59,0,non-directive
59,0,non-directive
59,0,non-directive
59,0,non-directive
59,0,non-directive
59,1,directive
59,2,directive
59,0,non-directive
59,1,directive
59,0,non-directive
59,0,non-directive
59,0,non-directive
59,0,non-directive
59,0,non-directive
59,0,non-directive
60,10,directive
60,0,non-directive
60,1,directive
60,2,directive
60,1,directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
60,1,directive
60,0,non-directive
60,2,directive
60,0,non-directive
60,0,non-directive
60,3,directive
60,1,directive
60,1,directive
60,0,non-directive
60,1,directive
60,0,non-directive
60,0,non-directive
60,1,directive
60,0,non-directive
60,1,directive
60,0,non-directive
60,1,directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
60,1,directive
60,0,non-directive
60,0,non-directive
60,1,directive
60,0,non-directive
60,1,directive
60,1,directive
60,1,directive
60,1,directive
60,0,non-directive
60,1,directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
60,0,non-directive
61,0,non-directive
61,0,non-directive
61,0,non-directive
61,0,non-directive
61,0,non-directive
62,3,directive
62,0,non-directive
62,1,directive
62,1,directive
62,0,non-directive
62,1,directive
62,0,non-directive
62,0,non-directive
62,0,non-directive
62,0,non-directive
62,0,non-directive
62,0,non-directive
63,12,directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,2,directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,1,directive
63,1,directive
63,1,directive
63,1,directive
63,0,non-directive
63,1,directive
63,2,directive
63,1,directive
63,0,non-directive
63,2,directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,2,directive
63,1,directive
63,0,non-directive
63,2,directive
63,0,non-directive
63,0,non-directive
63,2,directive
63,1,directive
63,1,directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,1,directive
63,2,directive
63,2,directive
63,0,non-directive
63,2,directive
63,2,directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
